Reference,Name,Minimum,Maximum,Length,Direction
NC_063383,OPG001 CDS,195635,196375,741,forward
NC_063383,OPG002 CDS,194459,195508,1050,forward
NC_063383,OPG003 CDS,192603,194369,1767,forward
NC_063383,MPXVgp188 CDS,191054,192367,1314,forward
NC_063383,hypothetical protein CDS,190410,190940,531,forward
NC_063383,OPG005 CDS,189199,189660,462,forward
NC_063383,OPG210 CDS,181356,186998,5643,forward
NC_063383,OPG209 CDS,180518,181090,573,forward
NC_063383,OPG208 CDS,179266,180339,1074,forward
NC_063383,OPG205 CDS,175656,178019,2364,forward
NC_063383,OPG204 CDS,174532,175587,1056,forward
NC_063383,OPG200 CDS,172150,172599,450,forward
NC_063383,OPG199 CDS,170988,172022,1035,forward
NC_063383,OPG198 CDS,170038,170886,849,forward
NC_063383,OPG197 CDS,169670,169972,303,forward
NC_063383,OPG195 CDS,168230,168895,666,forward
NC_063383,OPG193 CDS,167334,168137,804,forward
NC_063383,OPG192 CDS,166731,167279,549,forward
NC_063383,OPG191 CDS,166161,166667,507,forward
NC_063383,OPG190 CDS,165122,166075,954,forward
NC_063383,OPG189 CDS,163333,165018,1686,forward
NC_063383,OPG188 CDS,161596,163107,1512,forward
NC_063383,OPG187 CDS,160622,161533,912,forward
NC_063383,OPG185 CDS,158917,159858,942,forward
NC_063383,OPG181 CDS,154412,155416,1005,forward
NC_063383,OPG180 CDS,152692,154371,1680,forward
NC_063383,OPG178 CDS,151509,152123,615,forward
NC_063383,OPG176 CDS,149809,150531,723,forward
NC_063383,OPG175 CDS,149442,149819,378,forward
NC_063383,OPG174 CDS,148355,149395,1041,reverse
NC_063383,OPG173 CDS,148037,148261,225,forward
NC_063383,OPG172 CDS,147427,148017,591,forward
NC_063383,OPG171 CDS,146988,147389,402,forward
NC_063383,OPG170 CDS,146113,146778,666,reverse
NC_063383,OPG167 CDS,144574,145407,834,reverse
NC_063383,OPG165 CDS,143516,144322,807,forward
NC_063383,OPG164 CDS,142778,143464,687,forward
NC_063383,OPG163 CDS,142202,142732,531,forward
NC_063383,OPG162 CDS,141652,142158,507,forward
NC_063383,OPG161 CDS,141102,141647,546,forward
NC_063383,OPG160 CDS,140172,141074,903,reverse
NC_063383,OPG159 CDS,139768,140205,438,forward
NC_063383,OPG158 CDS,139641,139769,129,reverse
NC_063383,OPG157 CDS,139372,139608,237,reverse
NC_063383,OPG156 CDS,138492,139409,918,reverse
NC_063383,OPG155 CDS,138051,138491,441,reverse
NC_063383,OPG154 CDS,137718,138050,333,reverse
NC_063383,OPG153 CDS,136138,137667,1530,reverse
NC_063383,OPG151 CDS,128924,132418,3495,forward
NC_063383,OPG150 CDS,127779,128927,1149,forward
NC_063383,OPG149 CDS,127196,127759,564,forward
NC_063383,OPG148 CDS,125986,127266,1281,forward
NC_063383,OPG147 CDS,125640,125987,348,reverse
NC_063383,OPG146 CDS,125406,125639,234,reverse
NC_063383,OPG145 CDS,123947,125425,1479,forward
NC_063383,OPG144 CDS,123318,123932,615,reverse
NC_063383,OPG143 CDS,122182,123315,1134,reverse
NC_063383,OPG142 CDS,121914,122198,285,reverse
NC_063383,OPG141 CDS,121763,121924,162,reverse
NC_063383,OPG140 CDS,121474,121746,273,reverse
NC_063383,OPG139 CDS,121156,121368,213,reverse
NC_063383,OPG138 CDS,120560,121132,573,reverse
NC_063383,OPG137 CDS,119602,120558,957,forward
NC_063383,OPG136 CDS,116912,119587,2676,reverse
NC_063383,OPG135 CDS,116609,116911,303,reverse
NC_063383,OPG134 CDS,115750,116628,879,forward
NC_063383,OPG133 CDS,113564,115696,2133,reverse
NC_063383,OPG132 CDS,112422,113540,1119,reverse
NC_063383,OPG131 CDS,111940,112425,486,forward
NC_063383,OPG130 CDS,111057,111902,846,reverse
NC_063383,OPG129 CDS,109070,111004,1935,reverse
NC_063383,OPG128 CDS,108822,109055,234,reverse
NC_063383,OPG127 CDS,108151,108825,675,reverse
NC_063383,OPG126 CDS,107678,108130,453,reverse
NC_063383,OPG125 CDS,105999,107654,1656,reverse
NC_063383,OPG124 CDS,105105,105968,864,reverse
NC_063383,OPG123 CDS,103175,105070,1896,reverse
NC_063383,OPG122 CDS,102428,103174,747,forward
NC_063383,OPG121 CDS,101790,102431,642,forward
NC_063383,OPG120 CDS,100834,101748,915,reverse
NC_063383,OPG119 CDS,100386,100871,486,forward
NC_063383,OPG118 CDS,98446,100359,1914,forward
NC_063383,OPG117 CDS,96049,98406,2358,forward
NC_063383,OPG116 CDS,95361,96017,657,forward
NC_063383,OPG115 CDS,94660,95361,702,forward
NC_063383,OPG114 CDS,94227,94667,441,reverse
NC_063383,OPG113 CDS,91731,94268,2538,forward
NC_063383,OPG112 CDS,91247,91687,441,forward
NC_063383,OPG111 CDS,90265,91209,945,forward
NC_063383,OPG110 CDS,89632,90264,633,forward
NC_063383,OPG109 CDS,87060,89447,2388,reverse
NC_063383,OPG108 CDS,86085,87059,975,reverse
NC_063383,OPG107 CDS,85512,86081,570,forward
NC_063383,OPG106 CDS,84983,85498,516,reverse
NC_063383,OPG105 CDS,81126,84986,3861,forward
NC_063383,OPG104 CDS,80618,81019,402,reverse
NC_063383,OPG103 CDS,80001,80558,558,forward
NC_063383,OPG102 CDS,79085,80086,1002,forward
NC_063383,OPG101 CDS,78486,79019,534,forward
NC_063383,OPG100 CDS,78008,78466,459,forward
NC_063383,OPG099 CDS,77665,78051,387,forward
NC_063383,OPG098 CDS,76900,77655,756,forward
NC_063383,OPG097 CDS,75841,76875,1035,reverse
NC_063383,OPG096 CDS,75587,75865,279,forward
NC_063383,OPG095 CDS,74803,75555,753,forward
NC_063383,OPG094 CDS,73780,74802,1023,forward
NC_063383,OPG093 CDS,72978,73760,783,forward
NC_063383,OPG092 CDS,71832,72947,1116,reverse
NC_063383,OPG091 CDS,71370,71867,498,forward
NC_063383,OPG090 CDS,71179,71370,192,forward
NC_063383,OPG089 CDS,69866,71170,1305,forward
NC_063383,OPG088 CDS,69489,69863,375,reverse
NC_063383,OPG087 CDS,68857,69519,663,forward
NC_063383,OPG086 CDS,68528,68863,336,reverse
NC_063383,OPG085 CDS,66756,68531,1776,reverse
NC_063383,OPG084 CDS,64722,66752,2031,forward
NC_063383,OPG083 CDS,63445,64716,1272,reverse
NC_063383,OPG082 CDS,62304,63452,1149,reverse
NC_063383,OPG081 CDS,62046,62285,240,reverse
NC_063383,OPG080 CDS,59703,62018,2316,reverse
NC_063383,OPG079 CDS,58812,59621,810,reverse
NC_063383,OPG078 CDS,58590,58811,222,reverse
NC_063383,OPG077 CDS,57645,58583,939,reverse
NC_063383,OPG076 CDS,57523,57630,108,reverse
NC_063383,OPG075 CDS,57172,57498,327,reverse
NC_063383,OPG074 CDS,55128,57125,1998,reverse
NC_063383,MPXVgp059 CDS,54752,55141,390,reverse
NC_063383,OPG072 CDS,54470,54757,288,forward
NC_063383,OPG071 CDS,51418,54438,3021,reverse
NC_063383,OPG070 CDS,50590,51411,822,forward
NC_063383,OPG069 CDS,49986,50486,501,forward
NC_063383,OPG068 CDS,48201,49904,1704,forward
NC_063383,OPG066 CDS,46649,47428,780,reverse
NC_063383,OPG065 CDS,46022,46483,462,reverse
NC_063383,OPG064 CDS,43685,45898,2214,reverse
NC_063383,OPG063 CDS,42249,43688,1440,reverse
NC_063383,OPG062 CDS,41947,42252,306,forward
NC_063383,OPG061 CDS,41189,41884,696,reverse
NC_063383,OPG060 CDS,40706,41182,477,reverse
NC_063383,OPG059 CDS,40484,40633,150,reverse
NC_063383,OPG058 CDS,40213,40434,222,reverse
NC_063383,OPG057 CDS,39077,40195,1119,reverse
NC_063383,OPG056 CDS,37127,39034,1908,reverse
NC_063383,OPG055 CDS,36019,37083,1065,reverse
NC_063383,OPG054 CDS,34677,35996,1320,reverse
NC_063383,OPG053 CDS,34052,34690,639,reverse
NC_063383,OPG052 CDS,33801,33995,195,reverse
NC_063383,OPG051 CDS,33425,33649,225,reverse
NC_063383,OPG050 CDS,33181,33408,228,reverse
NC_063383,OPG049 CDS,32195,33151,957,reverse
NC_063383,OPG048 CDS,31205,32164,960,reverse
NC_063383,OPG047 CDS,29746,31194,1449,reverse
NC_063383,OPG046 CDS,29274,29729,456,reverse
NC_063383,OPG045 CDS,28603,29262,660,reverse
NC_063383,OPG044 CDS,28091,28540,450,forward
NC_063383,OPG043 CDS,27125,27955,831,reverse
NC_063383,OPG042 CDS,25823,27097,1275,reverse
NC_063383,OPG040 CDS,24351,25478,1128,reverse
NC_063383,OPG039 CDS,23264,24118,855,reverse
NC_063383,OPG038 CDS,22497,23159,663,reverse
NC_063383,OPG037 CDS,21105,22433,1329,reverse
NC_063383,OPG036 CDS,20531,21064,534,reverse
NC_063383,OPG035 CDS,20051,20404,354,reverse
NC_063383,OPG034 CDS,19361,20005,645,reverse
NC_063383,OPG031 CDS,17878,18828,951,reverse
NC_063383,OPG030 CDS,17213,17833,621,reverse
NC_063383,OPG029 CDS,16602,17069,468,reverse
NC_063383,OPG027 CDS,15925,16377,453,reverse
NC_063383,OPG025 CDS,13375,15267,1893,reverse
NC_063383,OPG024 CDS,13034,13228,195,reverse
NC_063383,OPG023 CDS,10918,12900,1983,reverse
NC_063383,OPG022 CDS,10478,10858,381,reverse
NC_063383,OPG021 CDS,9587,10315,729,forward
NC_063383,OPG019 CDS,7580,8008,429,forward
NC_063383,OPG015 CDS,4843,6156,1314,reverse
NC_063383,OPG003 CDS,2841,4607,1767,reverse
NC_063383,OPG002 CDS,1702,2751,1050,reverse
NC_063383,OPG001 CDS,835,1575,741,reverse
